Date,Forecast_Total,Sum_Provinces,Difference,Pct_Difference
2025-10-23,15192.480711653074,15215.956737809645,23.476026156571606,0.15452398197593112
2025-10-24,15737.06223036578,15831.678129161844,94.61589879606436,0.6012297429535244
2025-10-25,15956.498056341648,15568.209087873296,-388.2889684683523,-2.4334222151835707
2025-10-26,16202.246469245363,15752.661029909807,-449.58543933555666,-2.7748339724923134
2025-10-27,14909.74811177751,15042.778024851188,133.02991307367847,0.8922344769097439
2025-10-28,14894.042218628783,14774.473937318655,-119.56828131012844,-0.8027926841819873
2025-10-29,15420.462442385991,15258.824527043409,-161.63791534258235,-1.0482040726501862
2025-10-30,15161.74089659282,15025.1852758185,-136.55562077432114,-0.9006592429303961
2025-10-31,15522.538393136938,15415.74426059114,-106.79413254579777,-0.6879939984108219
2025-11-01,15807.718661739184,15961.878820034817,154.16015829563366,0.9752207867208638
2025-11-02,15491.489986854707,15556.678260245493,65.18827339078598,0.4208005391740978
2025-11-03,14730.9043967766,14756.950119679677,26.045722903078058,0.1768100735809361
2025-11-04,14925.50249660956,15053.113477565044,127.61098095548368,0.8549861620033997
2025-11-05,14270.058620558557,14617.008568732712,346.949948174155,2.4313141059863055
2025-11-06,14310.71625712523,15014.411051073768,703.6947939485381,4.917257678127552
2025-11-07,15380.073793049156,15491.261057976923,111.18726492776659,0.7229306336489515
2025-11-08,15230.402191269612,15624.32717002787,393.92497875825757,2.5864384525844217
2025-11-09,15606.291654002856,15790.269163294312,183.97750929145514,1.178867557843357
2025-11-10,14490.88482619554,14814.184079704795,323.2992535092544,2.231052536728593
2025-11-11,14326.693564492602,14480.966574847915,154.2730103553131,1.0768221548178054
2025-11-12,15159.046634611315,14580.583893483148,-578.4627411281672,-3.815957263482614
2025-11-13,14645.129194453411,14547.906869788512,-97.22232466489913,-0.663854332549831
2025-11-14,15450.411227691671,15358.659464889202,-91.75176280246887,-0.5938467361828065
2025-11-15,14995.683890414088,15635.435505629626,639.7516152155385,4.2662383382494244
2025-11-16,15237.756911509216,15462.858739582805,225.1018280735898,1.4772635459459806
2025-11-17,14680.917529225244,14565.147741901576,-115.76978732366842,-0.788573242055246
2025-11-18,14295.794585545797,14706.020993034927,410.22640748913,2.8695600306393745
2025-11-19,14726.6816997713,15042.542866965081,315.8611671937815,2.1448223953851513
2025-11-20,14425.667221628304,14659.223436837525,233.55621520922068,1.6190323235728843
2025-11-21,15229.457182789449,15472.283692235686,242.82650944623674,1.59445281950463
2025-11-22,15122.640675037816,15319.68569088485,197.04501584703394,1.30298021411225
2025-11-23,15820.548443281992,15382.051139039275,-438.4973042427173,-2.771694709666781
2025-11-24,14534.00318698304,14329.122710540496,-204.88047644254402,-1.4096630763507696
2025-11-25,14214.93830787356,14608.735998457545,393.79769058398597,2.7703088262146314
2025-11-26,14745.000787262506,14592.48219776389,-152.51858949861708,-1.0343749159401232
2025-11-27,14136.758946266347,14414.8509832052,278.0920369388532,1.967155541067636
2025-11-28,15258.993273572289,15240.921890522332,-18.07138304995715,-0.11843103097276908
2025-11-29,14615.256618906118,14755.708005960509,140.45138705439058,0.9609915906143198
2025-11-30,14781.714571080052,14976.124582237124,194.4100111570715,1.3152060961684946
2025-12-01,14484.23857883686,14213.479825125296,-270.75875371156326,-1.8693337053089762
2025-12-02,14624.50023415433,14229.972858220559,-394.5273759337706,-2.6977152696977913
2025-12-03,14445.204964794468,14697.613968240888,252.40900344642068,1.747354946237082
2025-12-04,14346.819712231882,14224.919298045003,-121.90041418687906,-0.8496685441927496
2025-12-05,14996.0075473658,14901.814556147368,-94.19299121843142,-0.6281204575345614
2025-12-06,14641.644655671453,15080.255239257636,438.61058358618357,2.9956374020884833
2025-12-07,14843.015870856278,15270.734666659224,427.71879580294626,2.8816165092348687
2025-12-08,14185.04266739132,14026.386759216972,-158.65590817434895,-1.1184732530912178
2025-12-09,14603.518118153246,14487.917009482439,-115.60110867080766,-0.7915976666410746
2025-12-10,14383.546279922217,14277.236190926496,-106.31008899572043,-0.7391090272648349
2025-12-11,13766.430144114678,13997.876395015383,231.4462509007044,1.6812365186747458
2025-12-12,15058.88122709505,15120.059689118332,61.17846202328292,0.40626166778715356
2025-12-13,14840.262517833498,15015.100773082577,174.83825524907843,1.178134517761905
2025-12-14,14740.797871893355,14982.010928501488,241.21305660813232,1.6363636399089307
2025-12-15,14380.24329197182,14362.44300663374,-17.800285338078538,-0.12378292200394173
