Date_2025,Date_2026,Actual_2025,Forecast_2026,Difference,Pct_Change,Label
2024-12-25,2025-12-25,13824.505301692,13660.301021341136,-164.20428035086297,-1.1877768988288195, 🎄 Natal
2024-12-26,2025-12-26,14008.0462356,14819.984644277367,811.9384086773662,5.796228788950658,
2024-12-27,2025-12-27,13895.045914981,14775.970409906475,880.9244949254753,6.339845872518514,
2024-12-28,2025-12-28,14251.333948729,14954.01575675417,702.6818080251705,4.930638847936329,
2024-12-29,2025-12-29,14589.267594346,14727.023391705354,137.7557973593539,0.9442269563465989,
2024-12-30,2025-12-30,13793.028083357,13842.6701619465,49.64207858950067,0.3599070362903125,
2024-12-31,2025-12-31,14088.857575038,14000.30144860251,-88.55612643549102,-0.6285543449057981, ⭐⭐ NYE
2025-01-01,2026-01-01,15020.51,15070.119075998957,49.60907599895654,0.3302755765214133, ⭐⭐⭐ NY
2025-01-02,2026-01-02,13229.89,14313.639622929035,1083.7496229290355,8.191675236370337,
2025-01-03,2026-01-03,13069.25,13712.876759499244,643.6267594992441,4.924741354700876,
2025-01-04,2026-01-04,13312.53,14407.71637759378,1095.18637759378,8.226733593041894,
2025-01-05,2026-01-05,13649.65,12930.420811898228,-719.2291881017718,-5.269213409148014,
